Gene symbol,GSM1686438,GSM1686442,GSM1686436,GSM1686440,GSM1686444,GSM1686437,GSM1686441,GSM1686445,GSM1686435,GSM1686439,GSM1686443,Variance
DISC1,10.2479,10.6539,10.01,10.1573,6.87931,10.2224,10.2562,6.85137,10.0796,9.56414,6.37461,2.673524021
AIRE,14.4209,14.0697,13.9754,14.0145,10.4985,14.4482,14.3408,11.1054,13.6794,13.7654,10.3693,2.659499577
HNRNPA1P33,12.5892,12.4887,12.7706,12.3626,9.04538,12.5054,12.6515,9.05988,12.7051,12.114,9.05441,2.658350269
ZNF223,11.747,11.7523,11.4757,11.6226,8.13805,12.0407,11.9833,8.28436,10.91,11.3893,8.15011,2.651697926
ZNF486,14.3911,14.2534,14.1102,14.293,10.761,14.4818,14.4546,11.035,13.8427,13.8194,10.4883,2.650598691
MATN1-AS1,11.2986,11.4467,11.5612,11.3257,7.82541,11.6777,11.3397,8.26419,11.1881,11.1752,7.67298,2.645997808
TSKS,13.6098,13.5745,13.5516,13.7601,10.0693,13.7747,13.9854,10.092,13.5637,13.6506,10.5158,2.637314318
CD68,11.5759,11.5395,11.1213,11.3291,7.78198,11.842,12.047,8.42037,10.9908,11.2901,7.99979,2.631697329
KRT13,7.00252,6.64228,6.19939,6.2087,6.80038,9.48501,9.81658,10.5257,8.39031,8.66109,9.82078,2.629822798
CYP1A1,10.8457,9.08669,6.49166,6.30584,6.54733,10.0455,7.13801,7.47316,6.80267,6.48725,6.41341,2.624800841
SH3YL1,10.5805,10.7707,11.0447,10.6986,7.35622,9.45427,9.85494,6.84299,9.74076,9.45883,6.65962,2.61383485
SLC9B1,11.371,11.7412,11.6733,11.3737,8.20536,11.7357,11.9535,8.43578,11.2688,11.1451,7.73528,2.613820053
LOC100131496,13.5445,13.5557,13.2557,13.3786,9.78373,13.8554,13.6618,10.4903,13.1956,13.0255,9.81323,2.613082311
PTPRQ,10.9737,10.7608,10.2816,10.8389,7.28595,10.6651,10.8021,7.08571,10.1745,10.199,7.15432,2.612499095
ATMIN,9.52136,10.0874,10.4692,9.82174,6.43472,10.0788,10.4948,6.91157,10.3325,10.4276,6.9382,2.611677262
CDC14B,14.4865,14.3819,14.2018,14.4651,10.9172,14.3461,14.4345,10.6537,14.2286,13.8345,11.0234,2.610072979
SUMO1,9.57457,10.0717,10.3294,9.26724,6.55832,10.1171,10.4147,6.99753,10.6412,10.2444,6.62986,2.608820232
MICB,6.79275,6.77344,6.62698,6.72293,6.66001,9.69552,10.179,10.35,9.01051,9.55307,9.63357,2.606767244
MAD2L1,7.81696,7.70444,7.92266,7.15569,6.40621,10.2092,9.9962,6.65269,10.4333,10.3386,6.72705,2.604272982
LAMTOR3,10.1721,10.1704,10.4352,9.69951,6.38741,9.94406,10.1194,6.78929,10.3019,10.0194,6.88647,2.601414374
EFTUD1P1,14.0888,13.8688,14.0624,14.3425,10.3689,14.0574,14.2315,10.7707,13.9572,13.865,10.7659,2.588120972
C18orf54,14.453,14.1651,14.1781,14.3052,11.0687,14.4141,14.1884,10.4238,14.0984,14.1239,10.9743,2.586534115
CD36,9.73074,10.1446,10.4713,9.89913,6.87056,10.8738,10.9567,7.4254,11.2809,10.8048,7.41879,2.58319374
STRIP2,11.2048,11.3182,11.1428,11.1033,7.67057,11.5285,11.5308,7.9678,10.6092,10.8127,7.68897,2.571664373
OR13C2,14.5761,14.3153,14.5614,14.5255,11.3177,14.4999,14.5509,10.7871,14.3043,14.2445,11.0272,2.553928934
SYAP1,10.6382,10.8823,10.9165,10.0802,7.04145,10.657,10.8464,7.4648,10.7912,10.3902,7.32758,2.548178317
KCNH2,9.63489,10.1018,10.1805,9.69091,6.78873,9.99141,10.7021,6.89666,10.2876,10.5222,6.68371,2.54626265
RAX2,11.9517,11.8674,11.339,11.7593,8.24995,11.248,11.5692,8.10397,10.8741,11.2459,8.04513,2.544441958
SLC26A4-AS1,11.2405,11.5572,11.9808,11.531,8.2685,10.525,10.9163,7.67827,10.5792,10.5789,7.64019,2.540799439
MIGA1,11.8658,12.0996,12.0665,11.5969,8.26514,12.2156,12.2889,9.05117,11.4276,11.5512,8.3436,2.540718457
PAXIP1-AS2,10.5981,10.3222,10.5676,10.4457,6.79868,9.27996,9.35307,6.54647,9.38652,8.96592,6.70861,2.531917011
MTMR9LP,11.5895,11.654,11.6822,11.5901,8.26795,11.4437,11.8295,7.91824,11.5685,11.3759,8.43266,2.528120703
ELMOD3,10.4681,10.5606,10.4796,10.4092,6.96234,9.81084,10.1706,6.84911,10.1089,10.1962,6.89595,2.526873159
IL17RD,12.337,12.6539,12.6986,12.3655,9.16758,12.593,12.932,9.37309,12.266,12.1996,8.89303,2.521229296
MAP4K3,12.0042,11.7314,11.7112,10.8627,8.17984,12.2044,12.5713,8.63892,12.3924,11.8274,9.26753,2.51264865
ISCA1,13.3117,13.2239,13.5233,13.0632,10.0427,13.1228,13.3343,9.90076,13.5463,12.7856,9.69921,2.510192263
ID2,12.2761,12.8339,12.0235,12.0332,9.02946,11.5281,12.1475,8.56206,11.8467,11.7687,8.65235,2.508494844
RNA18S5,10.3235,10.1748,10.8202,10.5403,6.6851,10.4788,10.6522,8.08255,9.94199,9.60042,6.54344,2.508458159
NOP56,10.1482,10.4157,9.34084,9.53537,7.06578,10.9726,11.4163,7.43299,10.7083,10.7017,7.29272,2.507453868
LEP,10.7672,10.9268,10.6007,9.65559,7.00331,10.8852,11.1673,7.58333,10.2022,10.403,7.35014,2.503334928
ANKIB1,14.1492,13.7465,13.9041,13.8543,10.7037,13.5138,13.3711,9.98199,13.4711,12.9993,10.2902,2.49469585
HSPA4,9.93858,10.3414,10.0622,9.87258,6.84403,10.4945,10.9145,7.17099,10.5704,10.5706,7.08173,2.492640524
AATBC,9.48663,9.51818,9.91109,8.85534,6.6143,10.287,10.5709,6.64529,10.3991,10.0834,6.76028,2.486266004
LARP4,10.0742,10.5098,10.1391,9.70231,7.05458,10.3439,10.573,6.69036,10.3174,10.3463,7.01641,2.481610483
ECT2,8.95745,9.20304,9.40532,9.02089,6.50893,10.6277,11.2271,7.57096,10.9311,10.933,7.57578,2.47615693
TACC1,13.2544,13.2584,13.638,13.1626,10.1494,13.2607,13.128,9.5697,13.0028,12.919,9.8863,2.475446174
TEX41,12.4784,12.369,11.9552,12.0587,8.75527,12.4137,12.5412,9.05044,11.6748,11.8889,8.78624,2.464985466
MORF4L1,11.0543,10.8755,11.3164,9.34321,8.55872,13.252,13.0776,10.5291,13.1676,12.648,10.8815,2.461427675
LOC100131635,10.579,10.9535,10.9779,10.6241,7.38066,10.046,10.225,6.93477,10.2899,9.9565,7.22266,2.459577163
ARPP19,11.765,11.8887,11.6907,11.4903,8.44614,12.2669,12.496,8.92594,12.139,12.2288,8.73724,2.458180182
LOC643387,10.1543,10.5436,11.3106,10.8836,7.7361,10.6999,10.9292,7.20791,11.075,11.2646,7.82504,2.456484681
TUBA3D,10.1697,10.1254,10.0757,10.0685,7.04278,11.6158,11.8861,8.70415,11.5081,11.4229,8.09689,2.452173619
UPK1A,10.3878,10.2862,10.2688,10.9435,10.3592,7.35257,7.83476,7.32632,7.73047,7.72068,7.03524,2.451660217
RPL7,12.3113,12.5638,12.6413,12.5174,9.26451,12.5623,12.906,9.23191,12.3799,12.7574,9.24271,2.450434176
SEC14L1P1,10.3643,10.3135,10.1687,10.0213,6.75448,10.0274,10.278,6.78284,9.9926,10.325,7.0273,2.442623834
CD247,9.01339,9.00941,9.15979,8.59601,6.64803,9.8886,10.9432,6.52103,10.2079,10.2875,6.72702,2.435186364
AOC4P,13.0998,13.3366,13.2316,13.1066,9.68377,13.4277,13.5922,10.4143,12.7767,13.034,9.65832,2.431884102
CRCP,12.4445,12.5429,12.5747,12.7143,8.92006,12.3703,12.982,9.19769,12.2883,12.3471,9.60475,2.42497537
BTNL8,10.3926,10.3047,10.1381,10.2111,7.03473,10.1245,10.4062,6.75725,9.89815,10.3047,6.93707,2.418288499
EZR,9.84466,9.90464,10.103,9.50879,6.6253,9.66764,10.0972,6.45197,9.84858,9.92652,6.58649,2.417488725
